label,sentence1,sentence2
main-captions,A plane is taking off.,An air plane is taking off.
main-captions,A man is playing a large flute.,A man is playing a flute.
main-captions,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.
main-captions,Three men are playing chess.,Two men are playing chess.
main-captions,A man is playing the cello.,A man seated is playing the cello.
main-captions,Some men are fighting.,Two men are fighting.
main-captions,A man is smoking.,A man is skating.
main-captions,The man is playing the piano.,The man is playing the guitar.
main-captions,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.
main-captions,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.
main-captions,The man hit the other man with a stick.,The man spanked the other man with a stick.
main-captions,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.
main-captions,A man is playing a flute.,A man is playing a bamboo flute.
main-captions,A person is folding a piece of paper.,Someone is folding a piece of paper.
main-captions,A man is running on the road.,A panda dog is running on the road.
main-captions,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.
main-captions,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.
main-captions,A woman is writing.,A woman is swimming.
main-captions,A cat is rubbing against baby's face.,A cat is rubbing against a baby.
main-captions,The man is riding a horse.,A man is riding on a horse.
main-captions,A man pours oil into a pot.,A man pours wine in a pot.
main-captions,A man is playing a guitar.,A girl is playing a guitar.
main-captions,A panda is sliding down a slide.,A panda slides down a slide.
main-captions,A woman is eating something.,A woman is eating meat.
main-captions,A woman peels a potato.,A woman is peeling a potato.
main-captions,The boy fell off his bike.,A boy falls off his bike.
main-captions,The woman is playing the flute.,A woman is playing a flute.
main-captions,A rabbit is running from an eagle.,A hare is running from a eagle.
main-captions,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.
main-captions,A girl is flying a kite.,A girl running is flying a kite.
main-captions,A man is riding a mechanical bull.,A man rode a mechanical bull.
main-captions,The man is playing the guitar.,A man is playing a guitar.
main-captions,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.
main-captions,A man is slicing a bun.,A man is slicing an onion.
main-captions,A man is pouring oil into a pan.,A man is pouring oil into a skillet.
main-captions,A lion is playing with people.,A lion is playing with two men.
main-captions,A dog rides a skateboard.,A dog is riding a skateboard.
main-captions,Someone is carving a statue.,A man is carving a statue.
main-captions,A woman is slicing an onion.,A man is cutting an onion.
main-captions,A woman peels shrimp.,A woman is peeling shrimp.
main-captions,A woman is frying fish.,A woman is cooking fish.
main-captions,A woman is playing an electric guitar.,A woman is playing a guitar.
main-captions,A baby tiger is playing with a ball.,A baby is playing with a doll.
main-captions,A person is slicing a tomato.,A person is slicing some meat.
main-captions,A person cuts an onion.,A person is cutting an onion.
main-captions,A man is playing the piano.,A woman is playing the violin.
main-captions,A woman is playing the flute.,A man is playing the guitar.
main-captions,A man is cutting up a potato.,A man is cutting up carrots.
main-captions,A kid is playing guitar.,A boy is playing a guitar.
main-captions,A boy is playing guitar.,A man is playing a guitar.
main-captions,A man is playing guitar.,A boy is playing a guitar.
main-captions,A little boy is playing a keyboard.,A boy is playing key board.
main-captions,A man is playing a guitar.,A man is playing an electric guitar.
main-captions,A dog licks a baby.,A dog is licking a baby.
main-captions,A woman is slicing an onion.,A man is cutting and onion.
main-captions,A man is playing the guitar.,A man is playing the drums.
main-captions,A woman is slicing a pepper.,A woman is cutting a red pepper.
main-captions,A man is playing the drums.,A man plays the drum.
main-captions,A woman rides a horse.,A woman is riding a horse.
main-captions,A man is eating a banana by a tree.,A man is eating a banana.
main-captions,A cat is playing a key board.,A man is playing two keyboards.
main-captions,A man chops down a tree with an axe.,A man cut a tree with an axe.
main-captions,A kid plays with a toy phone.,A little boy plays with a toy phone.
main-captions,A man is riding a motorcycle.,A man is riding a horse.
main-captions,A man is riding a motorcycle.,A man is riding a horse.
main-captions,A squirrel is spinning around in circles.,A squirrel runs around in circles.
main-captions,A man and a woman are kissing.,A man and woman kiss.
main-captions,A man is getting into a car.,A man is getting into a car in a garage.
main-captions,A man is dancing.,A man is talking.
main-captions,A man is playing the guitar and singing.,A man is playing the guitar.
main-captions,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.
main-captions,A tiger cub is making a sound.,A tiger is walking around.
main-captions,A person is slicing onions.,A person is peeling an onion.
main-captions,A man is playing the piano.,A man is playing the trumpet.
main-captions,A woman is peeling a potato.,A woman is peeling an apple.
main-captions,A pankda is eating bamboo.,A panda bear is eating some bamboo.
main-captions,A person is peeling an onion.,A person is peeling an eggplant.
main-captions,A monkey pushes another monkey.,The monkey pushed the other monkey.
main-captions,A squirrel runs around in circles.,A squirrel is moving in circles.
main-captions,A man is tying his shoe.,A man ties his shoe.
main-captions,A boy is singing and playing the piano.,A boy is playing the piano.
main-captions,A dog is eating water melon.,A dog is eating a piece of watermelon.
main-captions,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.
main-captions,A man is peeling a potato.,A man peeled a potatoe.
main-captions,A woman is playing a guitar.,A man plays a guitar.
main-captions,A woman is slicing tomato.,A man is slicing onion.
main-captions,A man swims underwater.,A woman is swimming underwater.
main-captions,A man and woman are talking.,A man and woman is eating.
main-captions,A small dog is chasing a yoga ball.,A dog is chasing a ball.
main-captions,The men are playing cricket.,The men are playing basketball.
main-captions,A man rides off on a motorcycle.,A man is riding on a motorcycle.
main-captions,A man is playing a guitar.,A man is singing and playing a guitar.
main-captions,The man talked on the telephone.,The man is talking on the phone.
main-captions,A man is fishing.,A man is exercising.
main-captions,A man is levitating.,A man is talking.
main-captions,Two boys are driving.,Two bays are dancing.
main-captions,A man is riding on a horse.,A girl is riding a horse.
main-captions,A man is riding a bicycle.,A monkey is riding a bike.
main-captions,A man is slicing potatoes.,A woman is peeling potato.
main-captions,A woman is peeling a potato.,A man is slicing potato.
main-captions,A man is playing a guitar.,Someoen is playing guitar.
main-captions,A woman is slicing a leek.,A woman is slicing ginger.
main-captions,The man cut a paper plate.,A man is cutting a paper plate.
main-captions,The man is playing the guitar.,A man is playing the flute.
main-captions,A man is playing the piano.,The man is playing the violin.
main-captions,A woman is slicing up some meat.,A woman is breading some meat.
main-captions,A man is playing on his keyboard.,A man is playing a keyboard piano.
main-captions,The lady chopped up the green onions.,The lady cut up a green onion.
main-captions,Someone is sitring noodles in water.,A woman is boiling noodles in water.
main-captions,Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.
main-captions,A man is playing a piano.,A person is playing the piano.
main-captions,A woman is playing flute.,A woman plays on a flute.
main-captions,A boy is checking a calender.,A boy is looking at a calendar.
main-captions,A woman is cutting an onion.,A woman is chopping onions.
